id,code_prefix_start,name,name@ca
account_group_396,396,"Deteriorament de valor dels subproductes, residus i materials recuperats","Deteriorament de valor dels subproductes, residus i materials recuperats"
account_group_4,4,Creditors i deudors per operacions comerciales,Creditors i deudors per operacions comerciales
account_group_40,40,Proveïdors,Proveïdors
account_group_400,400,Proveïdors,Proveïdors
account_group_401,401,"Proveïdors, efectes comercials a pagar","Proveïdors, efectes comercials a pagar"
account_group_403,403,"Proveïdors, empreses del grup","Proveïdors, empreses del grup"
account_group_404,404,"Proveïdors, empreses associades","Proveïdors, empreses associades"
account_group_405,405,"Proveïdors, altres parts vinculades","Proveïdors, altres parts vinculades"
account_group_406,406,Envases i embalatges a retornar a proveïdors,Envases i embalatges a retornar a proveïdors
account_group_407,407,Bestretes a proveïdors,Bestretes a proveïdors
account_group_41,41,Creditors diversos,Creditors diversos
account_group_410,410,Creditors por prestacions de serveis,Creditors por prestacions de serveis
account_group_411,411,"Creditors, efectes comercials a pagar","Creditors, efectes comercials a pagar"
account_group_43,43,Clients,Clients
account_group_430,430,Clients,Clients
account_group_431,431,"Clients, efectes comercials a cobrar","Clients, efectes comercials a cobrar"
account_group_432,432,"Clients, operacions de «factoring»","Clients, operacions de «factoring»"
account_group_433,433,"Clients, empreses del grup","Clients, empreses del grup"
account_group_434,434,"Clients, empreses associades","Clients, empreses associades"
account_group_435,435,"Clients, altres empreses vinculadas","Clients, altres empreses vinculadas"
account_group_436,436,Clients de cobrament dubtós,Clients de cobrament dubtós
account_group_437,437,Envasos i embalatges a retornar per clients,Envasos i embalatges a retornar per clients
account_group_438,438,Bestretes de clients,Bestretes de clients
account_group_44,44,Deutors diversos,Deutors diversos
account_group_440,440,Deutors,Deutors
account_group_441,441,"Deutors, efectes comercials a cobrar","Deutors, efectes comercials a cobrar"
account_group_446,446,Deutors de cobrament dubtós,Deutors de cobrament dubtós
account_group_46,46,Personal,Personal
account_group_460,460,Bestretes de remuneracions,Bestretes de remuneracions
account_group_465,465,Remuneracions pendents de pagament,Remuneracions pendents de pagament
account_group_466,466,Remuneracions mitjançant sistemes d'aportació definida pendents de pagament,Remuneracions mitjançant sistemes d'aportació definida pendents de pagament
account_group_47,47,Administracions públiques,Administracions públiques
